timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2025/05/29 08:48:29.189, 30.80 W, 0 %, 0 %, 674 MiB
2025/05/29 08:48:30.192, 30.80 W, 0 %, 0 %, 674 MiB
2025/05/29 08:48:31.195, 30.80 W, 5 %, 1 %, 674 MiB
2025/05/29 08:48:32.198, 30.80 W, 3 %, 0 %, 674 MiB
2025/05/29 08:48:33.202, 30.80 W, 8 %, 1 %, 674 MiB
2025/05/29 08:48:34.205, 30.80 W, 0 %, 0 %, 674 MiB
2025/05/29 08:48:35.208, 30.80 W, 8 %, 1 %, 674 MiB
2025/05/29 08:48:36.212, 30.80 W, 3 %, 0 %, 674 MiB
2025/05/29 08:48:37.215, 34.22 W, 8 %, 1 %, 674 MiB
2025/05/29 08:48:38.218, 30.80 W, 0 %, 0 %, 674 MiB
2025/05/29 08:48:39.222, 45.44 W, 5 %, 1 %, 674 MiB
2025/05/29 08:48:40.225, 31.54 W, 0 %, 0 %, 674 MiB
2025/05/29 08:48:41.228, 36.67 W, 11 %, 2 %, 674 MiB
2025/05/29 08:48:42.232, 31.05 W, 0 %, 0 %, 674 MiB
2025/05/29 08:48:43.236, 30.80 W, 5 %, 1 %, 674 MiB
2025/05/29 08:48:44.239, 30.80 W, 1 %, 0 %, 674 MiB
2025/05/29 08:48:45.242, 31.29 W, 3 %, 0 %, 674 MiB
2025/05/29 08:48:46.245, 30.80 W, 3 %, 0 %, 674 MiB
2025/05/29 08:48:47.249, 30.80 W, 5 %, 1 %, 674 MiB
2025/05/29 08:48:48.252, 30.80 W, 8 %, 1 %, 674 MiB
2025/05/29 08:48:49.255, 34.71 W, 3 %, 0 %, 674 MiB
2025/05/29 08:48:50.259, 30.80 W, 0 %, 0 %, 674 MiB
2025/05/29 08:48:51.262, 30.80 W, 5 %, 1 %, 674 MiB
2025/05/29 08:48:52.266, 32.51 W, 0 %, 0 %, 674 MiB
2025/05/29 08:48:53.270, 30.80 W, 5 %, 1 %, 674 MiB
2025/05/29 08:48:54.273, 41.07 W, 0 %, 0 %, 674 MiB
2025/05/29 08:48:55.276, 30.80 W, 3 %, 0 %, 674 MiB
2025/05/29 08:48:56.279, 33.98 W, 5 %, 1 %, 674 MiB
2025/05/29 08:48:57.284, 31.05 W, 0 %, 0 %, 674 MiB
2025/05/29 08:48:58.287, 30.80 W, 8 %, 1 %, 674 MiB
2025/05/29 08:48:59.290, 31.29 W, 5 %, 1 %, 674 MiB
2025/05/29 08:49:00.293, 40.09 W, 0 %, 0 %, 674 MiB
2025/05/29 08:49:01.296, 32.03 W, 3 %, 0 %, 674 MiB
2025/05/29 08:49:02.299, 31.54 W, 5 %, 1 %, 674 MiB
2025/05/29 08:49:03.302, 39.11 W, 3 %, 0 %, 674 MiB
2025/05/29 08:49:04.307, 45.69 W, 3 %, 0 %, 674 MiB
2025/05/29 08:49:05.310, 30.80 W, 10 %, 1 %, 674 MiB
2025/05/29 08:49:06.314, 39.35 W, 5 %, 1 %, 674 MiB
2025/05/29 08:49:07.317, 30.80 W, 5 %, 1 %, 674 MiB
2025/05/29 08:49:08.320, 30.80 W, 8 %, 1 %, 674 MiB
2025/05/29 08:49:09.325, 35.69 W, 5 %, 1 %, 674 MiB
2025/05/29 08:49:10.328, 31.29 W, 0 %, 0 %, 674 MiB
2025/05/29 08:49:11.331, 30.80 W, 3 %, 0 %, 674 MiB
2025/05/29 08:49:12.334, 31.05 W, 0 %, 0 %, 674 MiB
2025/05/29 08:49:13.337, 38.14 W, 0 %, 0 %, 674 MiB
2025/05/29 08:49:14.342, 33.24 W, 5 %, 1 %, 674 MiB
2025/05/29 08:49:15.345, 31.54 W, 8 %, 1 %, 674 MiB
2025/05/29 08:49:16.348, 30.80 W, 5 %, 1 %, 674 MiB
2025/05/29 08:49:17.351, 30.80 W, 2 %, 0 %, 674 MiB
2025/05/29 08:49:18.356, 30.80 W, 0 %, 0 %, 674 MiB
2025/05/29 08:49:19.360, 30.80 W, 0 %, 0 %, 674 MiB
2025/05/29 08:49:20.363, 30.80 W, 11 %, 2 %, 674 MiB
2025/05/29 08:49:21.366, 30.80 W, 6 %, 1 %, 674 MiB
2025/05/29 08:49:22.369, 30.56 W, 5 %, 1 %, 674 MiB
2025/05/29 08:49:23.373, 43.49 W, 3 %, 0 %, 674 MiB
2025/05/29 08:49:24.376, 30.80 W, 0 %, 0 %, 674 MiB
2025/05/29 08:49:25.379, 30.80 W, 0 %, 0 %, 674 MiB
2025/05/29 08:49:26.383, 30.80 W, 0 %, 0 %, 674 MiB
2025/05/29 08:49:27.387, 30.80 W, 3 %, 0 %, 674 MiB
2025/05/29 08:49:28.391, 45.93 W, 3 %, 0 %, 674 MiB
2025/05/29 08:49:29.394, 31.54 W, 3 %, 0 %, 674 MiB
2025/05/29 08:49:30.397, 30.80 W, 0 %, 0 %, 674 MiB
2025/05/29 08:49:31.401, 30.80 W, 3 %, 0 %, 674 MiB
2025/05/29 08:49:32.404, 30.80 W, 3 %, 0 %, 674 MiB
2025/05/29 08:49:33.408, 30.80 W, 3 %, 0 %, 674 MiB
2025/05/29 08:49:34.411, 30.80 W, 6 %, 1 %, 674 MiB
2025/05/29 08:49:35.414, 30.80 W, 3 %, 0 %, 674 MiB
2025/05/29 08:49:36.418, 31.78 W, 5 %, 1 %, 674 MiB
2025/05/29 08:49:37.421, 30.80 W, 5 %, 1 %, 674 MiB
2025/05/29 08:49:38.425, 44.71 W, 3 %, 0 %, 674 MiB
2025/05/29 08:49:39.428, 30.80 W, 5 %, 1 %, 674 MiB
2025/05/29 08:49:40.431, 30.80 W, 11 %, 2 %, 674 MiB
2025/05/29 08:49:41.435, 30.80 W, 3 %, 0 %, 674 MiB
2025/05/29 08:49:42.439, 30.80 W, 5 %, 1 %, 674 MiB
2025/05/29 08:49:43.442, 31.05 W, 3 %, 0 %, 674 MiB
2025/05/29 08:49:44.445, 30.80 W, 5 %, 1 %, 674 MiB
2025/05/29 08:49:45.448, 30.80 W, 0 %, 0 %, 674 MiB
2025/05/29 08:49:46.451, 32.27 W, 8 %, 1 %, 674 MiB
2025/05/29 08:49:47.454, 30.80 W, 5 %, 1 %, 674 MiB
2025/05/29 08:49:48.460, 30.80 W, 3 %, 0 %, 674 MiB
2025/05/29 08:49:49.463, 30.80 W, 0 %, 0 %, 674 MiB
2025/05/29 08:49:50.466, 30.80 W, 8 %, 1 %, 674 MiB
2025/05/29 08:49:51.469, 30.80 W, 0 %, 0 %, 674 MiB
2025/05/29 08:49:52.472, 30.80 W, 8 %, 1 %, 674 MiB
2025/05/29 08:49:53.477, 30.80 W, 11 %, 2 %, 674 MiB
2025/05/29 08:49:54.480, 30.80 W, 8 %, 1 %, 674 MiB
2025/05/29 08:49:55.484, 30.80 W, 5 %, 1 %, 674 MiB
2025/05/29 08:49:56.487, 30.80 W, 5 %, 1 %, 674 MiB
2025/05/29 08:49:57.490, 30.80 W, 11 %, 2 %, 674 MiB
2025/05/29 08:49:58.494, 30.80 W, 11 %, 2 %, 674 MiB
2025/05/29 08:49:59.497, 31.05 W, 5 %, 1 %, 674 MiB
2025/05/29 08:50:00.500, 30.80 W, 3 %, 0 %, 674 MiB
2025/05/29 08:50:01.503, 30.80 W, 0 %, 0 %, 674 MiB
2025/05/29 08:50:02.507, 30.80 W, 8 %, 1 %, 674 MiB
2025/05/29 08:50:03.512, 30.80 W, 5 %, 1 %, 674 MiB
2025/05/29 08:50:04.515, 30.80 W, 0 %, 0 %, 674 MiB
2025/05/29 08:50:05.518, 30.80 W, 3 %, 1 %, 674 MiB
2025/05/29 08:50:06.521, 30.80 W, 5 %, 1 %, 674 MiB
2025/05/29 08:50:07.524, 35.20 W, 3 %, 0 %, 674 MiB
2025/05/29 08:50:08.527, 38.62 W, 6 %, 1 %, 674 MiB
2025/05/29 08:50:09.530, 31.05 W, 5 %, 1 %, 674 MiB
2025/05/29 08:50:10.535, 30.80 W, 5 %, 1 %, 674 MiB
2025/05/29 08:50:11.538, 30.80 W, 5 %, 1 %, 674 MiB
