timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2025/05/29 18:07:33.680, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:07:34.683, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:07:35.686, 33.25 W, 4 %, 0 %, 780 MiB
2025/05/29 18:07:36.689, 30.80 W, 4 %, 0 %, 780 MiB
2025/05/29 18:07:37.692, 30.80 W, 1 %, 0 %, 780 MiB
2025/05/29 18:07:38.695, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:07:39.701, 31.29 W, 0 %, 0 %, 780 MiB
2025/05/29 18:07:40.704, 30.80 W, 2 %, 0 %, 780 MiB
2025/05/29 18:07:41.707, 30.80 W, 3 %, 0 %, 780 MiB
2025/05/29 18:07:42.711, 30.80 W, 4 %, 0 %, 780 MiB
2025/05/29 18:07:43.714, 33.74 W, 4 %, 0 %, 780 MiB
2025/05/29 18:07:44.719, 31.05 W, 1 %, 0 %, 780 MiB
2025/05/29 18:07:45.722, 36.67 W, 1 %, 0 %, 780 MiB
2025/05/29 18:07:46.725, 30.80 W, 2 %, 0 %, 780 MiB
2025/05/29 18:07:47.728, 31.05 W, 2 %, 0 %, 780 MiB
2025/05/29 18:07:48.731, 30.80 W, 4 %, 0 %, 780 MiB
2025/05/29 18:07:49.734, 30.80 W, 1 %, 0 %, 780 MiB
2025/05/29 18:07:50.738, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:07:51.741, 31.05 W, 2 %, 0 %, 780 MiB
2025/05/29 18:07:52.747, 30.80 W, 2 %, 0 %, 780 MiB
2025/05/29 18:07:53.750, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:07:54.753, 30.80 W, 2 %, 0 %, 780 MiB
2025/05/29 18:07:55.756, 31.05 W, 4 %, 0 %, 780 MiB
2025/05/29 18:07:56.759, 30.80 W, 2 %, 0 %, 780 MiB
2025/05/29 18:07:57.764, 30.80 W, 2 %, 0 %, 780 MiB
2025/05/29 18:07:58.767, 31.05 W, 5 %, 0 %, 780 MiB
2025/05/29 18:07:59.770, 30.80 W, 4 %, 0 %, 780 MiB
2025/05/29 18:08:00.773, 30.56 W, 0 %, 0 %, 780 MiB
2025/05/29 18:08:01.776, 31.54 W, 2 %, 0 %, 780 MiB
2025/05/29 18:08:02.782, 31.05 W, 1 %, 0 %, 780 MiB
2025/05/29 18:08:03.786, 31.29 W, 1 %, 0 %, 780 MiB
2025/05/29 18:08:04.789, 30.80 W, 2 %, 0 %, 780 MiB
2025/05/29 18:08:05.792, 34.47 W, 1 %, 0 %, 780 MiB
2025/05/29 18:08:06.795, 30.80 W, 2 %, 0 %, 780 MiB
2025/05/29 18:08:07.800, 30.80 W, 1 %, 0 %, 780 MiB
2025/05/29 18:08:08.803, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:08:09.806, 30.80 W, 1 %, 0 %, 780 MiB
2025/05/29 18:08:10.809, 30.80 W, 1 %, 0 %, 780 MiB
2025/05/29 18:08:11.812, 30.80 W, 2 %, 0 %, 780 MiB
2025/05/29 18:08:12.816, 33.73 W, 1 %, 0 %, 780 MiB
2025/05/29 18:08:13.819, 31.05 W, 2 %, 0 %, 780 MiB
2025/05/29 18:08:14.822, 31.53 W, 2 %, 0 %, 780 MiB
2025/05/29 18:08:15.826, 30.80 W, 1 %, 0 %, 780 MiB
2025/05/29 18:08:16.829, 30.80 W, 1 %, 0 %, 780 MiB
2025/05/29 18:08:17.832, 30.80 W, 4 %, 0 %, 780 MiB
2025/05/29 18:08:18.836, 31.78 W, 4 %, 0 %, 780 MiB
2025/05/29 18:08:19.839, 31.29 W, 1 %, 0 %, 780 MiB
2025/05/29 18:08:20.844, 30.80 W, 4 %, 0 %, 780 MiB
2025/05/29 18:08:21.847, 30.80 W, 1 %, 0 %, 780 MiB
2025/05/29 18:08:22.850, 30.80 W, 4 %, 0 %, 780 MiB
2025/05/29 18:08:23.853, 30.80 W, 1 %, 0 %, 780 MiB
2025/05/29 18:08:24.856, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:08:25.862, 32.03 W, 1 %, 0 %, 780 MiB
2025/05/29 18:08:26.865, 34.71 W, 1 %, 0 %, 780 MiB
2025/05/29 18:08:27.869, 31.05 W, 2 %, 0 %, 780 MiB
2025/05/29 18:08:28.872, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:08:29.875, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:08:30.879, 30.80 W, 1 %, 0 %, 780 MiB
2025/05/29 18:08:31.883, 31.54 W, 0 %, 0 %, 780 MiB
2025/05/29 18:08:32.886, 30.80 W, 2 %, 0 %, 780 MiB
2025/05/29 18:08:33.889, 30.80 W, 5 %, 0 %, 780 MiB
2025/05/29 18:08:34.892, 30.80 W, 6 %, 0 %, 780 MiB
2025/05/29 18:08:35.895, 30.80 W, 2 %, 0 %, 780 MiB
2025/05/29 18:08:36.898, 30.80 W, 1 %, 0 %, 780 MiB
2025/05/29 18:08:37.902, 32.76 W, 2 %, 0 %, 780 MiB
2025/05/29 18:08:38.907, 31.05 W, 1 %, 0 %, 780 MiB
2025/05/29 18:08:39.910, 31.05 W, 2 %, 0 %, 780 MiB
2025/05/29 18:08:40.913, 30.80 W, 1 %, 0 %, 780 MiB
2025/05/29 18:08:41.916, 32.03 W, 2 %, 0 %, 780 MiB
2025/05/29 18:08:42.919, 30.80 W, 0 %, 0 %, 780 MiB
2025/05/29 18:08:43.924, 30.80 W, 2 %, 0 %, 780 MiB
2025/05/29 18:08:44.927, 31.29 W, 2 %, 0 %, 780 MiB
2025/05/29 18:08:45.930, 32.76 W, 2 %, 0 %, 780 MiB
2025/05/29 18:08:46.933, 30.80 W, 1 %, 0 %, 780 MiB
2025/05/29 18:08:47.937, 31.05 W, 3 %, 0 %, 780 MiB
2025/05/29 18:08:48.943, 30.80 W, 2 %, 0 %, 780 MiB
2025/05/29 18:08:49.946, 31.05 W, 4 %, 0 %, 780 MiB
2025/05/29 18:08:50.949, 32.02 W, 1 %, 0 %, 780 MiB
