timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2025/05/29 16:17:12.669, 30.80 W, 0 %, 0 %, 784 MiB
2025/05/29 16:17:13.672, 30.80 W, 0 %, 0 %, 784 MiB
2025/05/29 16:17:14.679, 30.80 W, 1 %, 0 %, 784 MiB
2025/05/29 16:17:15.682, 30.80 W, 3 %, 0 %, 784 MiB
2025/05/29 16:17:16.685, 31.05 W, 4 %, 0 %, 784 MiB
2025/05/29 16:17:17.689, 30.80 W, 2 %, 0 %, 784 MiB
2025/05/29 16:17:18.692, 33.01 W, 1 %, 0 %, 784 MiB
2025/05/29 16:17:19.696, 31.05 W, 2 %, 0 %, 784 MiB
2025/05/29 16:17:20.699, 31.29 W, 4 %, 0 %, 784 MiB
2025/05/29 16:17:21.702, 31.04 W, 2 %, 0 %, 784 MiB
2025/05/29 16:17:22.705, 33.00 W, 2 %, 0 %, 784 MiB
2025/05/29 16:17:23.708, 32.03 W, 4 %, 0 %, 784 MiB
2025/05/29 16:17:24.713, 31.05 W, 0 %, 0 %, 784 MiB
2025/05/29 16:17:25.716, 31.05 W, 1 %, 0 %, 784 MiB
2025/05/29 16:17:26.720, 31.05 W, 2 %, 0 %, 784 MiB
2025/05/29 16:17:27.723, 35.20 W, 1 %, 0 %, 784 MiB
2025/05/29 16:17:28.726, 31.05 W, 0 %, 0 %, 784 MiB
2025/05/29 16:17:29.729, 31.05 W, 2 %, 0 %, 784 MiB
2025/05/29 16:17:30.732, 31.05 W, 0 %, 0 %, 784 MiB
2025/05/29 16:17:31.735, 31.05 W, 0 %, 0 %, 784 MiB
2025/05/29 16:17:32.741, 31.05 W, 2 %, 0 %, 784 MiB
2025/05/29 16:17:33.744, 31.04 W, 0 %, 0 %, 784 MiB
2025/05/29 16:17:34.747, 31.29 W, 4 %, 0 %, 784 MiB
2025/05/29 16:17:35.750, 31.05 W, 5 %, 0 %, 784 MiB
2025/05/29 16:17:36.754, 31.29 W, 1 %, 0 %, 784 MiB
2025/05/29 16:17:37.759, 31.05 W, 2 %, 0 %, 784 MiB
2025/05/29 16:17:38.762, 31.05 W, 4 %, 0 %, 784 MiB
2025/05/29 16:17:39.765, 34.96 W, 1 %, 0 %, 784 MiB
2025/05/29 16:17:40.768, 31.04 W, 2 %, 0 %, 784 MiB
2025/05/29 16:17:41.771, 31.05 W, 1 %, 0 %, 784 MiB
2025/05/29 16:17:42.776, 33.98 W, 1 %, 0 %, 784 MiB
2025/05/29 16:17:43.779, 31.78 W, 0 %, 0 %, 784 MiB
2025/05/29 16:17:44.782, 31.05 W, 5 %, 0 %, 784 MiB
2025/05/29 16:17:45.785, 31.29 W, 5 %, 0 %, 784 MiB
2025/05/29 16:17:46.789, 31.05 W, 0 %, 0 %, 784 MiB
2025/05/29 16:17:47.794, 31.04 W, 2 %, 0 %, 784 MiB
2025/05/29 16:17:48.797, 31.05 W, 4 %, 0 %, 784 MiB
2025/05/29 16:17:49.800, 31.05 W, 0 %, 0 %, 784 MiB
2025/05/29 16:17:50.803, 31.05 W, 2 %, 0 %, 784 MiB
2025/05/29 16:17:51.806, 30.80 W, 1 %, 0 %, 784 MiB
2025/05/29 16:17:52.809, 31.05 W, 2 %, 0 %, 784 MiB
2025/05/29 16:17:53.813, 31.05 W, 2 %, 0 %, 784 MiB
2025/05/29 16:17:54.816, 31.29 W, 0 %, 0 %, 784 MiB
2025/05/29 16:17:55.821, 31.05 W, 1 %, 0 %, 784 MiB
2025/05/29 16:17:56.824, 31.05 W, 4 %, 0 %, 784 MiB
2025/05/29 16:17:57.827, 31.05 W, 2 %, 0 %, 784 MiB
2025/05/29 16:17:58.831, 32.02 W, 1 %, 0 %, 784 MiB
2025/05/29 16:17:59.834, 31.29 W, 2 %, 0 %, 784 MiB
2025/05/29 16:18:00.838, 32.51 W, 0 %, 0 %, 784 MiB
2025/05/29 16:18:01.842, 30.80 W, 4 %, 0 %, 784 MiB
2025/05/29 16:18:02.845, 31.05 W, 4 %, 0 %, 784 MiB
2025/05/29 16:18:03.848, 31.04 W, 1 %, 0 %, 784 MiB
2025/05/29 16:18:04.851, 31.05 W, 2 %, 0 %, 784 MiB
2025/05/29 16:18:05.856, 32.76 W, 1 %, 0 %, 784 MiB
2025/05/29 16:18:06.859, 32.76 W, 1 %, 0 %, 784 MiB
2025/05/29 16:18:07.862, 31.05 W, 0 %, 0 %, 784 MiB
2025/05/29 16:18:08.865, 31.05 W, 0 %, 0 %, 784 MiB
2025/05/29 16:18:09.868, 31.05 W, 0 %, 0 %, 784 MiB
2025/05/29 16:18:10.874, 31.05 W, 1 %, 0 %, 784 MiB
2025/05/29 16:18:11.877, 31.04 W, 4 %, 0 %, 784 MiB
2025/05/29 16:18:12.880, 31.04 W, 1 %, 0 %, 784 MiB
2025/05/29 16:18:13.883, 31.05 W, 1 %, 0 %, 784 MiB
2025/05/29 16:18:14.886, 31.54 W, 2 %, 0 %, 784 MiB
2025/05/29 16:18:15.889, 34.47 W, 0 %, 0 %, 784 MiB
2025/05/29 16:18:16.892, 31.05 W, 4 %, 0 %, 784 MiB
2025/05/29 16:18:17.895, 31.05 W, 1 %, 0 %, 784 MiB
2025/05/29 16:18:18.901, 31.78 W, 1 %, 0 %, 784 MiB
2025/05/29 16:18:19.904, 31.29 W, 1 %, 0 %, 784 MiB
2025/05/29 16:18:20.907, 31.04 W, 1 %, 0 %, 784 MiB
2025/05/29 16:18:21.910, 31.05 W, 0 %, 0 %, 784 MiB
2025/05/29 16:18:22.913, 34.71 W, 2 %, 0 %, 784 MiB
2025/05/29 16:18:23.918, 30.80 W, 2 %, 0 %, 784 MiB
2025/05/29 16:18:24.921, 31.04 W, 4 %, 0 %, 784 MiB
2025/05/29 16:18:25.924, 31.05 W, 2 %, 0 %, 784 MiB
2025/05/29 16:18:26.927, 31.05 W, 5 %, 0 %, 784 MiB
2025/05/29 16:18:27.930, 31.05 W, 1 %, 0 %, 784 MiB
2025/05/29 16:18:28.936, 31.05 W, 1 %, 0 %, 784 MiB
2025/05/29 16:18:29.939, 31.05 W, 4 %, 0 %, 784 MiB
2025/05/29 16:18:30.942, 31.29 W, 1 %, 0 %, 784 MiB
2025/05/29 16:18:31.945, 31.05 W, 4 %, 0 %, 784 MiB
2025/05/29 16:18:32.948, 35.69 W, 0 %, 0 %, 784 MiB
2025/05/29 16:18:33.951, 31.05 W, 1 %, 0 %, 784 MiB
2025/05/29 16:18:34.954, 34.47 W, 0 %, 0 %, 784 MiB
2025/05/29 16:18:35.957, 31.05 W, 2 %, 0 %, 784 MiB
2025/05/29 16:18:36.960, 31.05 W, 2 %, 0 %, 784 MiB
2025/05/29 16:18:37.964, 31.05 W, 2 %, 0 %, 784 MiB
2025/05/29 16:18:38.967, 31.05 W, 0 %, 0 %, 784 MiB
2025/05/29 16:18:39.971, 34.22 W, 4 %, 0 %, 784 MiB
2025/05/29 16:18:40.974, 31.05 W, 2 %, 0 %, 784 MiB
2025/05/29 16:18:41.977, 31.05 W, 2 %, 0 %, 784 MiB
2025/05/29 16:18:42.981, 31.05 W, 1 %, 0 %, 784 MiB
2025/05/29 16:18:43.984, 31.04 W, 1 %, 0 %, 784 MiB
2025/05/29 16:18:44.988, 32.27 W, 1 %, 0 %, 784 MiB
2025/05/29 16:18:45.991, 31.04 W, 0 %, 0 %, 784 MiB
2025/05/29 16:18:46.994, 31.05 W, 2 %, 0 %, 784 MiB
2025/05/29 16:18:47.999, 31.04 W, 1 %, 0 %, 784 MiB
2025/05/29 16:18:49.002, 31.04 W, 2 %, 0 %, 784 MiB
2025/05/29 16:18:50.005, 31.05 W, 0 %, 0 %, 784 MiB
2025/05/29 16:18:51.008, 31.05 W, 4 %, 0 %, 784 MiB
2025/05/29 16:18:52.011, 34.22 W, 0 %, 0 %, 784 MiB
2025/05/29 16:18:53.016, 31.05 W, 1 %, 0 %, 784 MiB
2025/05/29 16:18:54.019, 33.24 W, 2 %, 0 %, 784 MiB
2025/05/29 16:18:55.022, 31.05 W, 1 %, 0 %, 784 MiB
2025/05/29 16:18:56.025, 31.05 W, 2 %, 0 %, 784 MiB
2025/05/29 16:18:57.029, 34.47 W, 0 %, 0 %, 784 MiB
2025/05/29 16:18:58.032, 34.22 W, 0 %, 0 %, 784 MiB
2025/05/29 16:18:59.035, 31.05 W, 2 %, 0 %, 784 MiB
2025/05/29 16:19:00.038, 31.04 W, 0 %, 0 %, 784 MiB
2025/05/29 16:19:01.044, 31.05 W, 1 %, 0 %, 784 MiB
2025/05/29 16:19:02.047, 31.05 W, 5 %, 0 %, 784 MiB
2025/05/29 16:19:03.050, 31.05 W, 2 %, 0 %, 784 MiB
2025/05/29 16:19:04.053, 31.05 W, 0 %, 0 %, 784 MiB
2025/05/29 16:19:05.056, 31.05 W, 0 %, 0 %, 784 MiB
2025/05/29 16:19:06.062, 31.05 W, 0 %, 0 %, 784 MiB
