timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2025/05/29 07:58:21.141, 30.80 W, 0 %, 0 %, 692 MiB
2025/05/29 07:58:22.144, 30.56 W, 0 %, 0 %, 692 MiB
2025/05/29 07:58:23.147, 42.02 W, 3 %, 0 %, 692 MiB
2025/05/29 07:58:24.151, 32.02 W, 8 %, 1 %, 692 MiB
2025/05/29 07:58:25.154, 36.18 W, 0 %, 0 %, 692 MiB
2025/05/29 07:58:26.157, 30.80 W, 3 %, 0 %, 692 MiB
2025/05/29 07:58:27.160, 30.80 W, 8 %, 1 %, 692 MiB
2025/05/29 07:58:28.165, 30.80 W, 5 %, 1 %, 692 MiB
2025/05/29 07:58:29.168, 30.80 W, 3 %, 0 %, 692 MiB
2025/05/29 07:58:30.171, 40.07 W, 3 %, 0 %, 692 MiB
2025/05/29 07:58:31.174, 31.05 W, 5 %, 1 %, 692 MiB
2025/05/29 07:58:32.177, 38.13 W, 0 %, 0 %, 692 MiB
2025/05/29 07:58:33.181, 32.27 W, 5 %, 1 %, 692 MiB
2025/05/29 07:58:34.184, 32.27 W, 5 %, 1 %, 692 MiB
2025/05/29 07:58:35.187, 31.78 W, 5 %, 1 %, 692 MiB
2025/05/29 07:58:36.192, 31.05 W, 8 %, 1 %, 692 MiB
2025/05/29 07:58:37.195, 30.80 W, 0 %, 0 %, 692 MiB
2025/05/29 07:58:38.198, 30.56 W, 6 %, 1 %, 692 MiB
2025/05/29 07:58:39.201, 30.80 W, 5 %, 1 %, 692 MiB
2025/05/29 07:58:40.204, 31.78 W, 3 %, 0 %, 692 MiB
2025/05/29 07:58:41.210, 30.80 W, 8 %, 1 %, 692 MiB
2025/05/29 07:58:42.213, 46.18 W, 3 %, 0 %, 692 MiB
2025/05/29 07:58:43.216, 31.05 W, 5 %, 1 %, 692 MiB
2025/05/29 07:58:44.219, 33.73 W, 5 %, 1 %, 692 MiB
2025/05/29 07:58:45.223, 31.05 W, 8 %, 1 %, 692 MiB
2025/05/29 07:58:46.228, 34.47 W, 0 %, 0 %, 692 MiB
2025/05/29 07:58:47.231, 31.29 W, 5 %, 1 %, 692 MiB
2025/05/29 07:58:48.234, 30.80 W, 8 %, 1 %, 692 MiB
2025/05/29 07:58:49.237, 52.04 W, 3 %, 0 %, 692 MiB
2025/05/29 07:58:50.240, 31.05 W, 5 %, 1 %, 692 MiB
2025/05/29 07:58:51.245, 36.42 W, 3 %, 0 %, 692 MiB
2025/05/29 07:58:52.248, 31.05 W, 6 %, 1 %, 692 MiB
2025/05/29 07:58:53.252, 33.00 W, 5 %, 1 %, 692 MiB
2025/05/29 07:58:54.255, 30.80 W, 6 %, 1 %, 692 MiB
2025/05/29 07:58:55.258, 31.05 W, 3 %, 0 %, 692 MiB
2025/05/29 07:58:56.261, 30.80 W, 0 %, 0 %, 692 MiB
2025/05/29 07:58:57.264, 32.76 W, 0 %, 0 %, 692 MiB
2025/05/29 07:58:58.267, 32.76 W, 3 %, 0 %, 692 MiB
2025/05/29 07:58:59.271, 30.80 W, 8 %, 1 %, 692 MiB
2025/05/29 07:59:00.275, 30.80 W, 5 %, 1 %, 692 MiB
